RendaCapita	Adol2grau	AdultoSuperior	AdolAnalfa	AdultosAnalfa	Fecun	Morte1ano
76.51	12.64	0.36	10.85	45.84	2.9	43.55
113.57	18.7	1.09	9.25	39.72	3.29	65.41
75.62	5.37	0.33	12.75	50.69	3.61	59.14
66.72	9.55	0.34	17.74	59.23	4.03	84.29
64.23	7.22	0.05	10.88	45.83	2.57	51.81
84.67	13.88	1.57	5.12	40.06	2.74	65.36
61.51	4.77	1.33	12.04	48.87	3.34	43.79
84.79	11.61	0.34	3.79	35.29	2.34	48.28
53.93	7	0.55	18.53	46.04	2.4	62.53
85.75	13.35	0.33	6.13	38.51	2.67	48.88
97.94	19.51	0.12	5.98	33.24	2.5	52.82
78.46	11.2	0.29	5.1	29.07	2.46	52.82
92.83	13.53	0.08	7.56	40.34	3.29	47.59
163.21	26.52	2.59	6.32	29.55	2.47	47.59
92.96	10.45	0.91	12.17	48.48	2.42	35.92
63.83	11.47	0.2	8.95	39.49	3.35	45.68
74.47	10.48	0.48	6.01	44.08	3.09	67.22
82.53	14.24	0.72	15.34	53.7	2.99	62.13
62.78	1.66	0.15	19.53	59.86	3.62	69.01
102.47	14.96	1.63	16.43	43.21	2.4	40.98
90.94	10.25	1.77	7.14	41.62	2.97	58.76
82.62	8.68	0.65	12.5	48.82	3.04	69.04
62.36	3.92	0.21	16.12	59.84	3.69	55.93
65.44	3.8	0.05	19.64	60.21	3.26	71.48
92.88	15.75	0.98	9.45	44.37	2.89	50.09
82.45	8.1	0.65	13.44	44.11	3.03	55.99
73.62	15.2	0.83	5.96	41.39	2.39	57.44
77.57	8.74	0.1	9.41	44.8	2.9	73.29
54.96	0.85	0.13	19.13	63	3.4	67.52
116.3	16.1	1.96	7.19	36.86	2.32	38.23
95.79	11.7	0.48	12.66	40.99	3.55	57.84
98.28	17.59	0.61	4.14	38.06	3.5	51.05
73.37	7.35	0.7	3.51	36.41	2.46	44.7
86.45	10.91	0.43	10.12	40.34	2.85	65.11
72.98	10.33	0.25	6.37	42.86	2.85	56.31
92.31	10.03	0.92	11.15	47.71	2.39	48.88
64.25	6.26	0.17	10.14	55.1	3.66	56.81
80.27	9.04	0.39	16.28	51.68	3.57	68.17
69.31	5.45	0.34	14.28	54.34	2.39	67.66
81.95	9.69	0.33	8.94	43.93	3.19	59.7
71.91	7.66	0.03	15.95	49.91	2.85	48.6
97.26	10.4	1.08	15.84	37.1	2.78	69.01
60.26	10.22	0.07	7.95	50.66	2.38	58.76
71.45	15.42	0.29	14.64	50.38	3.21	68.05
47.55	4.52	0.1	21.16	60.66	4.88	69.03
84	18.1	0.58	4.85	37.38	2.86	39.41
93.59	10.31	0.28	8.14	40.7	2.52	47.55
49.38	5.53	0.78	17.45	52.23	2.44	58.34
117.54	26.92	1.43	5.56	30.47	2.8	34.85
105.07	15.91	1.01	10.87	33.58	3.3	34.54
71.38	7.02	0.61	7.42	42.9	2.47	59.52
53.44	6.09	0.22	17.68	52.5	2.58	48.92
66.87	17.52	0.65	10.84	44.4	2.4	38.33
75.87	14.27	0.11	4.81	46.29	3.09	67.52
94.99	9.05	0.72	4	36.04	3.15	56.8
79.72	9.16	0.52	15.18	46.6	3.2	73.74
112.25	8.26	0.57	11.82	42.65	2.44	34.04
76.42	9.14	0.49	5.17	42.81	2.24	39.41
71.22	4.15	0.51	11.88	48.38	2.24	69.74
93.53	12.86	0.23	3.61	33.3	2.15	25.52
77.88	12.72	0.58	5.79	44.42	2.24	35.24
102.01	13.81	0.53	3.71	27.18	2.44	38.73
91.22	9.15	1.23	4.01	41.61	2.44	67.52
67.15	9.16	0.36	12.35	52.84	2.81	80.15
59.67	8.86	0.21	13.3	56.85	2.24	51.81
56.07	7.18	0.29	16.79	51.96	2.67	57.48
72.25	7.83	0.5	6.31	40.4	2.47	59.52
82.76	14.62	0.38	7.89	39.99	2.53	47.55
59.87	6.17	0.27	9.81	44.39	3.16	77.91
71.74	8.4	0.14	11.94	47.19	2.47	72.9
71.44	4.76	0.14	13.88	46.73	2.25	41.46
89.11	19.36	0.83	7.08	36.08	2.51	34.85
76.03	8.62	0.05	7.62	35.6	2.81	40
67.03	2.72	0.73	24.92	60.9	3.27	73.74
108.45	24.14	0.81	7.18	35.12	2.51	44.27
68.78	6.48	0.11	16.14	55.82	2.6	83.45
104.83	9.29	0.62	5.31	42.13	3.28	49.94
87.27	11.59	1.19	9.21	45.1	3.07	72.4
57.06	3.94	0.29	14.24	43.06	3.44	58.76
111.66	14.26	0.94	6.81	31.88	2.78	44.05
73.77	16.48	0.26	8.16	49.1	2.68	71.48
73.96	7.9	0.3	13.85	51.88	3.13	48.71
86.94	11.79	0.67	8.05	45.96	3.07	65.11
66.59	6.25	0.54	11.83	54.39	3.5	64.13
83.33	8.7	0.07	5.58	42.26	2.22	49.8
67.62	7.83	0.13	14.93	53.39	3.16	67.66
100.59	11.99	1.1	13.41	49.07	3.03	43.35
101.82	8.55	0.7	6.32	32.98	2.3	48.88
62.41	6.99	0.15	11.86	52.79	3.48	67.6
144.25	17.52	1.98	5.33	32.54	2.2	50.75
101.39	10.88	0.48	5.03	33.24	2.87	37.33
63.68	5.1	0.2	10.8	55.48	2.95	63.53
71.79	17.4	1.18	11.05	39.4	2.86	73.74
61.46	9.35	0.18	10.39	50.53	4.51	51.05
86.93	8.97	1.4	11.96	37.69	4.05	51.05
67.61	6.44	0.38	14	49.79	2.72	67.22
81.21	12.23	0.54	11.13	43.94	2.68	67.52
119.49	17.03	1.06	5.92	41.77	2.4	43.24
73.59	10.85	0.55	18.47	57.26	3.45	77.52
105.15	41.02	0.37	2.58	22.48	3.75	34.85
62.65	4.95	0.25	8.26	52.06	2.24	69.74
95.77	6.14	0.13	8.92	38.36	2.32	32.31
89.61	17.67	0.56	6.98	42.31	2.87	58.4
